date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:51:23	2480/2480	---MC-	200	added ('OK')	application/json	date:Thu,%2004%20Nov%202021%2022:51:22%20GMT	https://cochonfluo.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcochonfluo.com%2Fbouche-a-bouche-a-bouda	~/Desktop/cfluo/cochonfluo.com/wp-json/oembed/1.0/embed233b.json	(from https://cochonfluo.com/bouche-a-bouche-a-bouda)
23:51:23	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2004%20Nov%202021%2022:51:23%20GMT	https://cochonfluo.com/?p=205	~/Desktop/cfluo/cochonfluo.com/indexc140.html	(from https://cochonfluo.com/bouche-a-bouche-a-bouda)
23:51:24	2611/2611	---MC-	200	added ('OK')	text/xml	date:Thu,%2004%20Nov%202021%2022:51:23%20GMT	https://cochonfluo.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcochonfluo.com%2Fbouche-a-bouche-a-bouda&format=xml	~/Desktop/cfluo/cochonfluo.com/wp-json/oembed/1.0/embedc7ea	(from https://cochonfluo.com/bouche-a-bouche-a-bouda)
23:51:24	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2004%20Nov%202021%2022:51:24%20GMT	https://cochonfluo.com/wp-content/webpc-passthru.php?src=https://cochonfluo.com/wp-content/uploads/2020/12/cover12-950x500.png&nocache=1	~/Desktop/cfluo/cochonfluo.com/wp-content/webpc-passthruf1ce.php	(from https://cochonfluo.com/bouche-a-bouche-a-bouda)
23:51:26	316857/316857	---M--	200	added ('OK')	image/png	etag:%224d5b9-5b82804794245%22	https://cochonfluo.com/wp-content/uploads/2020/12/cover12-950x500.png	~/Desktop/cfluo/cochonfluo.com/wp-content/uploads/2020/12/cover12-950x500.png	(from https://cochonfluo.com/bouche-a-bouche-a-bouda)
23:51:27	23640/23640	---MC-	200	added ('OK')	application/json	date:Thu,%2004%20Nov%202021%2022:51:26%20GMT	https://cochonfluo.com/wp-json/wp/v2/posts/602	~/Desktop/cfluo/cochonfluo.com/wp-json/wp/v2/posts/602.json	(from https://cochonfluo.com/tout-me-degoute)
23:51:28	2311/2311	---MC-	200	added ('OK')	application/json	date:Thu,%2004%20Nov%202021%2022:51:27%20GMT	https://cochonfluo.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcochonfluo.com%2Ftout-me-degoute	~/Desktop/cfluo/cochonfluo.com/wp-json/oembed/1.0/embed6a8f.json	(from https://cochonfluo.com/tout-me-degoute)
23:51:28	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2004%20Nov%202021%2022:51:28%20GMT	https://cochonfluo.com/?p=602	~/Desktop/cfluo/cochonfluo.com/indexca7f.html	(from https://cochonfluo.com/tout-me-degoute)
23:51:29	2404/2404	---MC-	200	added ('OK')	text/xml	date:Thu,%2004%20Nov%202021%2022:51:28%20GMT	https://cochonfluo.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcochonfluo.com%2Ftout-me-degoute&format=xml	~/Desktop/cfluo/cochonfluo.com/wp-json/oembed/1.0/embed8d51	(from https://cochonfluo.com/tout-me-degoute)
23:51:29	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2004%20Nov%202021%2022:51:29%20GMT	https://cochonfluo.com/wp-content/webpc-passthru.php?src=https://cochonfluo.com/wp-content/uploads/2021/01/CJ_qQ2YUEAATCxy.jpg&nocache=1	~/Desktop/cfluo/cochonfluo.com/wp-content/webpc-passthru1885.php	(from https://cochonfluo.com/tout-me-degoute)
